case_no,casetype,casesubtype,site_addr
CE1311-0515,PARKING,SINGLE FAMILY,8004 MIRROR ROCK LN
CE1311-0516,FENCES,RESIDENTIAL,8208 SWAN PARK DR
CE1311-0517,TRASHDEBRIS,RESIDENTIAL,8208 SWAN PARK DR
CE1311-0518,TRASHRECYCLE BINS,CURB WRONG TIME,1706 WISTERIA ST
CE1311-0519,TRASHDEBRIS,RESIDENTIAL,1419 OAKWOOD DR
CE1311-0520,FENCES,RESIDENTIAL,8209 SERENITY WAY
CE1311-0521,TRASHDEBRIS,RESIDENTIAL,8209 SERENITY WAY
CE1311-0522,OUTSIDE STORAGE,RESIDENTIAL,1712 MCCORMICK ST
CE1311-0523,TRASHDEBRIS,RESIDENTIAL,1712 MCCORMICK ST
CE1311-0524,TRASHRECYCLE BINS,LOCATION,1712 MCCORMICK ST
CE1311-0525,FENCES,COMMERCIAL,530 S LOCUST ST
CE1311-0526,GRASSWEEDS,COMMERCIAL,530 S LOCUST ST
CE1311-0527,ZONING,POD,530 S LOCUST ST
CE1311-0528,TRASHDEBRIS,COMMERCIAL,530 S LOCUST ST
CE1311-0529,OUTSIDE STORAGE,COMMERCIAL,530 S LOCUST ST
CE1311-0530,INOPERABLE VEHICLE,MOTOR VEHICLE,530 S LOCUST ST
CE1311-0531,OUTSIDE STORAGE,RESIDENTIAL,1512 WILLOWWOOD ST
CE1311-0532,OUTSIDE STORAGE,RESIDENTIAL,408 CAMPBELL LN
CE1311-0533,TRASHDEBRIS,RESIDENTIAL,408 CAMPBELL LN
CE1311-0534,TRASHDEBRIS,RESIDENTIAL,1500 WILLOWWOOD ST
CE1311-0535,TRASHDEBRIS,RESIDENTIAL,2202 WESTWOOD DR
CE1311-0536,TRASHRECYCLE BINS,RESIDENTIAL,2202 WESTWOOD DR
CE1311-0537,OUTSIDE STORAGE,RESIDENTIAL,7909 WINDING STREAM DR
CE1311-0538,INOPERABLE VEHICLE,MOTOR VEHICLE,608 WOODFORD LN
CE1311-0539,INOPERABLE VEHICLE,MOTOR VEHICLE,608 WOODFORD LN
CE1311-0540,INOPERABLE VEHICLE,VEHICLE,2105 ACORN BND
CE1311-0541,TRASHDEBRIS,VACANT LOT,401 S ELM ST
CE1311-0542,TRASHDEBRIS,VACANT LOT,321 S ELM ST
CE1311-0543,INOPERABLE VEHICLE,MOTOR VEHICLE,624 WOODFORD LN
CE1311-0544,INOPERABLE VEHICLE,MOTOR VEHICLE,624 WOODFORD LN
CE1311-0545,GRAFFITI,CITY PROPERTY,109 INDUSTRIAL ST
CE1311-0546,GRAFFITI,CITY PROPERTY,W HICKORY
CE1311-0547,PARKING,SINGLE FAMILY,702 WOODFORD LN
CE1311-0548,TRASHDEBRIS,RESIDENTIAL,706 WOODFORD LN
CE1311-0549,OUTSIDE STORAGE,RESIDENTIAL,706 WOODFORD LN
CE1311-0550,GRASSWEEDS,RESIDENTIAL,1224 N BONNIE BRAE ST
CE1311-0551,TRASHDEBRIS,COMMERCIAL,519 S ELM ST
CE1311-0552,OUTSIDE STORAGE,COMMERCIAL,519 S ELM ST
CE1311-0553,TRASHDEBRIS,RESIDENTIAL,1625 OAK TREE DR
CE1311-0554,PARKING,SINGLE FAMILY,1218 N BONNIE BRAE ST
CE1311-0555,TRASHDEBRIS,RESIDENTIAL,1118 STANLEY ST
CE1311-0556,TRASHDEBRIS,RESIDENTIAL,1004-1006 MULKEY LN
CE1311-0557,TRASHDEBRIS,RESIDENTIAL,1002 STANLEY ST
CE1311-0558,GRASSWEEDS,RESIDENTIAL,1100 HILLCREST ST
CE1311-0559,TRASHDEBRIS,RESIDENTIAL,1000 1002 MULKEY LN
CE1311-0560,CERTIFICATE OF OCCUP,NEW BUSINESS,116 MAPLE
CE1311-0561,ZONING,PARKING (COMMERCIAL),116 MAPLE
CE1311-0562,ZONING,SIGNAGE,116 MAPLE
CE1311-0563,ZONING,SIGNAGE,116 MAPLE
CE1311-0564,CERTIFICATE OF OCCUP,NEW BUSINESS,714-752 FORT WORTH DR
CE1311-0565,CERTIFICATE OF OCCUP,CHANGE OF OWNER,827 EAGLE/801 BERNARD
CE1311-0566,CERTIFICATE OF OCCUP,NEW BUSINESS,2430 S I-35E
CE1311-0567,CERTIFICATE OF OCCUP,CHANGE OF OWNER,1800 W UNIVERSITY DR
CE1311-0568,ZONING,SIGNAGE,2300 E UNIVERSITY DR
CE1311-0569,GRASSWEEDS,RESIDENTIAL,812 HILLCREST
CE1311-0570,TRASHDEBRIS,RESIDENTIAL,1814 TYLER ST
CE1311-0571,TRASHDEBRIS,RESIDENTIAL,1821 TYLER ST
CE1311-0572,OUTSIDE STORAGE,RESIDENTIAL,1821 TYLER ST
CE1311-0573,TRASHDEBRIS,RESIDENTIAL,902 ECTOR ST
CE1311-0574,CERTIFICATE OF OCCUP,CHANGE OF OWNER,1407 BERNARD ST
CE1311-0575,ZONING,SIGNAGE,1407 BERNARD ST
CE1311-0576,ZONING,SIGNAGE,1407 BERNARD ST
CE1311-0577,ZONING,SIGNAGE,110 N CARROLL BLVD
CE1311-0578,GRASSWEEDS,TREE LIMBS,110 N CARROLL BLVD
CE1311-0579,GRASSWEEDS,TREE LIMBS,1011 NORTH TEXAS BLVD
CE1311-0580,ZONING,SIGNAGE,604 W UNIVERSITY DR
CE1311-0581,ZONING,SIGNAGE,604 W UNIVERSITY DR
CE1311-0582,ZONING,SIGNAGE,2038 W UNIVERSITY DR
CE1311-0583,ZONING,SIGNAGE,2640 W UNIVERSITY DR 1256
CE1311-0584,ZONING,SIGNAGE,2640 W UNIVERSITY DR 1250
CE1311-0585,ZONING,SIGNAGE,913 SUNSET ST
CE1311-0586,ZONING,SIGNAGE,913 SUNSET ST
CE1311-0587,ZONING,NO CO,913 SUNSET ST
CE1311-0588,ZONING,SIGNAGE,905 W UNIVERSITY DR
CE1311-0589,ZONING,SIGNAGE,905 W UNIVERSITY DR
CE1311-0590,INOPERABLE VEHICLE,COMMERCIAL,621 S ELM ST
CE1311-0591,MINIMUM BUILDING STA,NO ADDRESS POSTED,621 S ELM ST
CE1311-0592,OUTSIDE STORAGE,COMMERCIAL,621 S ELM ST
CE1311-0593,PARKING,COMMERCIAL,621 S ELM ST
CE1311-0594,ZONING,SIGNAGE,621 S ELM ST
CE1311-0595,TRASHDEBRIS,COMMERCIAL,621 S ELM ST
CE1311-0596,CERTIFICATE OF OCCUP,NEW BUSINESS,3919 E MCKINNEY ST 2
CE1311-0597,ZONING,SIGNAGE,3919-3921 E MCKINNEY ST
CE1311-0598,ZONING,SIGNAGE,3919-3921 E MCKINNEY ST
CE1311-0599,CERTIFICATE OF OCCUP,NEW BUSINESS,529 MALONE ST J
CE1311-0600,ZONING,NO CO,104 N BELL AVE
CE1311-0601,PARKING,COMMERCIAL,104 N BELL AVE
CE1311-0602,GRAFFITI,COMMERCIAL,2315 COLORADO BLVD SUITE 160
CE1311-0603,PARKING,BLOCKING SIDEWALK,5224 TARTAN CIR
CE1311-0604,PARKING,SINGLE FAMILY,5312 KAYANNE LN
CE1311-0605,TRASHDEBRIS,RESIDENTIAL,901 JEFFREY DR
CE1311-0606,PARKING,SINGLE FAMILY,5209 TARTAN CIR
CE1311-0607,INOPERABLE VEHICLE,MOTOR VEHICLE,1824 BROADWAY ST
CE1311-0608,ILLEGAL DUMPING,CITY PROPERTY,Nicosa and Elm
CE1311-0609,ZONING,SIGNAGE,508 S ELM ST Suite 105
CE1311-0610,PARKING,SINGLE FAMILY,907 CONGRESS ST
CE1311-0611,ILLEGAL DUMPING,CITY PROPERTY,Ave A and Mulberry
CE1311-0612,TRASHDEBRIS,RESIDENTIAL,425 FRY ST
CE1311-0613,TRASHDEBRIS,RESIDENTIAL,1821 SCRIPTURE ST
CE1311-0614,OUTSIDE STORAGE,RESIDENTIAL,1821 SCRIPTURE ST
CE1311-0615,OUTSIDE STORAGE,RESIDENTIAL,2037  SCRIPTURE ST
CE1311-0616,FENCES,RESIDENTIAL,2037  SCRIPTURE ST
CE1311-0617,TRASHDEBRIS,RESIDENTIAL,1911 WESTWOOD DR
CE1311-0618,TRASHDEBRIS,RESIDENTIAL,1904 SCRIPTURE ST
CE1311-0619,TRASHDEBRIS,RESIDENTIAL,1918 WESTWOOD DR
CE1311-0620,GRAFFITI,CITY PROPERTY,312 JAGOE ST
CE1311-0621,TRASHDEBRIS,RESIDENTIAL,2015 WESTWOOD DR
CE1311-0622,OUTSIDE STORAGE,RESIDENTIAL,2206 WESTWOOD DR
CE1311-0623,GRASSWEEDS,TREE LIMBS,3812 MARKET ST
CE1311-0624,PARKING,BLOCKING SIDEWALK,2114 MCCORMICK ST
CE1311-0625,TRASHRECYCLE BINS,CURB WRONG TIME,1902 CAMELLIA ST
CE1311-0626,OUTSIDE STORAGE,RESIDENTIAL,1902 CAMELLIA ST
CE1311-0627,PARKING,SINGLE FAMILY,1830 SCRIPTURE ST
CE1311-0628,GRASSWEEDS,RESIDENTIAL,1523 MCCORMICK ST
CE1311-0629,GRASSWEEDS,RESIDENTIAL,1908 CAMELLIA ST
CE1311-0630,TRASHDEBRIS,RESIDENTIAL,2002 MERCEDES RD
CE1311-0631,TRASHDEBRIS,RESIDENTIAL,2019 MERCEDES RD
CE1311-0632,TRASHDEBRIS,RESIDENTIAL,2119 MERCEDES RD
CE1311-0633,PARKING,SINGLE FAMILY,1800 SENA ST
CE1311-0634,OUTSIDE STORAGE,RESIDENTIAL,2408 MERCEDES RD
CE1311-0635,TRASHDEBRIS,RESIDENTIAL,2408 MERCEDES RD
CE1311-0636,PARKING,BLOCKING SIDEWALK,314 MARIETTA ST
CE1311-0637,OUTSIDE STORAGE,COMMERCIAL,212 FRY ST
CE1311-0638,PARKING,SINGLE FAMILY,814 ANDERSON ST
CE1311-0639,TRASHDEBRIS,RESIDENTIAL,1812 PANHANDLE ST
CE1311-0640,MINIMUM BUILDING STA,EXT WALLS SURFACES,1812 PANHANDLE ST
CE1311-0641,PARKING,BLOCKING SIDEWALK,1713 CARLTON ST
CE1311-0642,TRASHDEBRIS,RESIDENTIAL,1720 CRESCENT ST
CE1311-0643,OUTSIDE STORAGE,RESIDENTIAL,1813 WESTCHESTER ST
CE1311-0644,PARKING,BLOCKING SIDEWALK,1820 WESTCHESTER ST
CE1311-0645,OUTSIDE STORAGE,RESIDENTIAL,1721 EMERY ST
CE1311-0646,OUTSIDE STORAGE,RESIDENTIAL,1705 EMERY ST
CE1311-0647,MINIMUM BUILDING STA,NO ADDRESS POSTED,1705 EMERY ST
CE1311-0648,TRASHDEBRIS,,COUNTRY CLUB RD FM 1
CE1311-0649,TRASHDEBRIS,,COUNTRY CLUB RD/FM1830
CE1311-0650,INOPERABLE VEHICLE,MOTOR VEHICLE,3405 BRIERCLIFF DR
CE1311-0651,PARKING,VACANT LOT,6505 SHILOH LN
CE1311-0652,TRASHDEBRIS,VACANT LOT,6505 SHILOH LN
CE1311-0653,GRASSWEEDS,VACANT LOT,6505 SHILOH LN
CE1311-0654,PARKING,BLOCKING SIDEWALK,3053 BRANDYWINE ST
CE1311-0655,ILLEGAL DUMPING,CITY PROPERTY,State School and Wessex
CE1311-0656,TRASHDEBRIS,RESIDENTIAL,1903 SHAWNEE ST
CE1311-0657,OUTSIDE STORAGE,RESIDENTIAL,2002 NAVAJO ST
CE1311-0658,PARKING,BLOCKING SIDEWALK,2005 NAVAJO ST
CE1311-0659,TRASHDEBRIS,RESIDENTIAL,2010 NAVAJO ST
CE1311-0660,TRASHDEBRIS,RESIDENTIAL,2102 NAVAJO ST
CE1311-0661,PARKING,BLOCKING SIDEWALK,2103 NAVAJO ST
CE1311-0662,PARKING,BLOCKING SIDEWALK,2005 SHAWNEE ST
CE1311-0663,PARKING,BLOCKING SIDEWALK,2003 BOYD ST
CE1311-0664,TRASHDEBRIS,RESIDENTIAL,1518 SEMINOLE AVE
CE1311-0665,ILLEGAL DUMPING,VACANT LOT,1005 AUTUMN OAK DR
CE1311-0666,STAGNANT WATER,VACANT LOT,1005 AUTUMN OAK DR
CE1311-0667,PARKING,BLOCKING SIDEWALK,1100 OAK TREE DR
CE1311-0668,TRASHDEBRIS,RESIDENTIAL,1100 OAK TREE DR
CE1311-0669,INOPERABLE VEHICLE,MOTOR VEHICLE,1213 OAK TREE DR
CE1311-0670,OUTSIDE STORAGE,RESIDENTIAL,1213 OAK TREE DR
CE1311-0671,TRASHDEBRIS,RESIDENTIAL,1213 OAK TREE DR
CE1311-0672,FENCES,RESIDENTIAL,1017 BALDWIN ST
CE1311-0673,OUTSIDE STORAGE,RESIDENTIAL,1907 W OAK ST
CE1311-0674,TRASHDEBRIS,RESIDENTIAL,1907 W OAK ST
CE1311-0675,OUTSIDE STORAGE,RESIDENTIAL,108 BONNIE BRAE
CE1311-0676,TRASHDEBRIS,COMMERCIAL,2505 LOUISE ST
CE1311-0677,FENCES,COMMERCIAL,2535 CHARLOTTE ST
CE1311-0678,GRAFFITI,COMMERCIAL,2535 CHARLOTTE ST
CE1311-0679,GRAFFITI,COMMERCIAL,2208 W HICKORY
CE1311-0680,GRAFFITI,COMMERCIAL,929 W HICKORY #B-23
CE1311-0681,PARKING,SINGLE FAMILY,2006 W HICKORY
CE1311-0682,GRAFFITI,CITY PROPERTY,1921 W HICKORY
CE1311-0683,GRAFFITI,CITY PROPERTY,118 BERNARD ST
CE1311-0684,GRAFFITI,CITY PROPERTY,900 W MULBERRY ST
CE1311-0685,OUTSIDE STORAGE,RESIDENTIAL,720 SYCAMORE ST
CE1311-0686,INOPERABLE VEHICLE,MOTOR VEHICLE,1115 E SHERMAN DR
CE1311-0687,PARKING,BLOCKING SIDEWALK,7100 RIVERCHASE TRL
CE1311-0688,GRASSWEEDS,RESIDENTIAL,1115 E SHERMAN DR
CE1311-0689,TRASHDEBRIS,COMMERCIAL,520 S CARROLL BLVD
CE1311-0690,TRASHDEBRIS,RESIDENTIAL,3316 HOFSTRA DR
CE1311-0691,ZONING,UNRELATED PEOPLE,1008 CRESCENT ST
CE1311-0692,ILLEGAL DUMPING,CITY PROPERTY,Geelisng and University
CE1311-0693,OUTSIDE STORAGE,RESIDENTIAL,7100 RAINTREE WAY
CE1311-0694,TRASHDEBRIS,RESIDENTIAL,7605 SUNBURST TRL
CE1311-0695,OUTSIDE STORAGE,RESIDENTIAL,524 CHAMBERS ST
CE1311-0696,TRASHDEBRIS,RESIDENTIAL,524 CHAMBERS ST
CE1311-0697,PARKING,BLOCKING SIDEWALK,1214 EGAN ST
CE1311-0698,TRASHDEBRIS,RESIDENTIAL,613 BOARDWALK LN
CE1311-0699,MINIMUM BUILDING STA,NO ADDRESS POSTED,1416 PANHANDLE ST
CE1311-0700,TRASHDEBRIS,RESIDENTIAL,1416 PANHANDLE ST
CE1311-0701,TRASHDEBRIS,RESIDENTIAL,617 BOARDWALK LN
CE1311-0702,GRASSWEEDS,RESIDENTIAL,616 BOARDWALK LN
CE1311-0703,TRASHDEBRIS,RESIDENTIAL,1814 W HICKORY ST
CE1311-0704,TRASHDEBRIS,RESIDENTIAL,2323 BERNARD ST
CE1311-0705,TRASHDEBRIS,RESIDENTIAL,2120 BERNARD ST
CE1311-0706,MINIMUM BUILDING STA,EXT WALLS SURFACES,1814 W HICKORY ST
CE1311-0707,MINIMUM BUILDING STA,PROTECTIVE TREATMENT,1814 W HICKORY ST
CE1311-0708,TRASHDEBRIS,RESIDENTIAL,1216 BROADWAY ST
CE1311-0709,TRASHDEBRIS,RESIDENTIAL,1424 LINDEN DR
CE1311-0710,TRASHRECYCLE BINS,CURB WRONG TIME,1424 LINDEN DR
CE1311-0711,ZONING,SIGNAGE,1435 S LOOP 288
CE1311-0712,ZONING,SIGNAGE,1435 S LOOP 288
CE1311-0713,ZONING,SIGNAGE,1435 S LOOP 288
CE1311-0714,ZONING,SIGNAGE,1435 S LOOP 288
CE1311-0715,ZONING,SIGNAGE,INTERSECTION SPRINGTREE AND E
CE1311-0716,ZONING,SIGNAGE,INTERSECTION SPRINGTREE AND E
CE1311-0717,ZONING,SIGNAGE,4733 RED BUD DR
CE1311-0718,ZONING,SIGNAGE,4733 RED BUD DR
CE1311-0719,ZONING,SIGNAGE,2311 COLORADO BLVD
CE1311-0720,PARKING,SINGLE FAMILY,2016 BERNARD ST
CE1311-0721,TRASHDEBRIS,RESIDENTIAL,1912 BERNARD ST
CE1311-0722,OUTSIDE STORAGE,RESIDENTIAL,2119 MCCORMICK ST
CE1311-0723,TRASHDEBRIS,RESIDENTIAL,3508 ORIOLE LN
CE1311-0724,INOPERABLE VEHICLE,MOTOR VEHICLE,3313 ORIOLE LN
CE1311-0725,GRASSWEEDS,VACANT LOT,3401 N LOCUST ST
CE1311-0726,TRASHDEBRIS,RESIDENTIAL,3405 MEADOWLARK LN
CE1311-0727,TRASHDEBRIS,RESIDENTIAL,2820 BARNES DR
CE1311-0728,MINIMUM BUILDING STA,PROTECTIVE TREATMENT,2820 BARNES DR
CE1311-0729,TRASHDEBRIS,RESIDENTIAL,709 PACE DR
CE1311-0730,TRASHDEBRIS,RESIDENTIAL,3101  LANCE LN
CE1311-0731,OUTSIDE STORAGE,RESIDENTIAL,5810 GREEN IVY RD
CE1311-0732,OUTSIDE STORAGE,RESIDENTIAL,1008 BERNARD ST
CE1311-0733,MINIMUM BUILDING STA,NO ADDRESS POSTED,1008 BERNARD ST
CE1311-0734,PARKING,DUPLEX,1008 BERNARD ST
CE1311-0735,TRASHDEBRIS,RESIDENTIAL,5904 ENGLISH MANOR RD
CE1311-0736,TRASHDEBRIS,RESIDENTIAL,1115 NORMAN ST
CE1311-0737,FENCES,RESIDENTIAL,1504 MORIN DR
CE1311-0738,TRASHDEBRIS,RESIDENTIAL,1228 PEAK ST
CE1311-0739,OUTSIDE STORAGE,RESIDENTIAL,3609 ANDALUSIAN DR
CE1311-0740,OUTSIDE STORAGE,RESIDENTIAL,3407 FRIESIAN CT
CE1311-0741,PARKING,DUPLEX,1107 NEFF ST
CE1311-0742,OUTSIDE STORAGE,RESIDENTIAL,1107 NEFF ST
CE1311-0743,TRASHDEBRIS,RESIDENTIAL,1107 NEFF ST
CE1311-0744,OUTSIDE STORAGE,RESIDENTIAL,3608 BUTLER DR
CE1311-0745,TRASHDEBRIS,RESIDENTIAL,1109 NEFF ST
CE1311-0746,PARKING,DUPLEX,1109 NEFF ST
CE1311-0747,PARKING,BLOCKING SIDEWALK,2907 LONESOME TRL
CE1311-0748,ILLEGAL DUMPING,CITY PROPERTY,Rockhill Road
CE1311-0749,PARKING,BLOCKING SIDEWALK,3901 LUCK HOLE DR
CE1311-0750,OUTSIDE STORAGE,RESIDENTIAL,1111 NEFF ST 1&2
CE1311-0751,ILLEGAL DUMPING,CITY PROPERTY,700 blk Aspen
CE1311-0752,PARKING,BLOCKING SIDEWALK,6508 ALDERBROOK DR
CE1311-0753,TRASHDEBRIS,RESIDENTIAL,820 DENTON ST
CE1311-0754,OUTSIDE STORAGE,RESIDENTIAL,2153 PEMBROOKE PL
CE1311-0755,TRASHDEBRIS,,2153 PEMBROOKE PL
CE1311-0756,OUTSIDE STORAGE,RESIDENTIAL,2144 PEMBROOKE PL
CE1311-0757,TRASHDEBRIS,RESIDENTIAL,2144 PEMBROOKE PL
CE1311-0758,OUTSIDE STORAGE,RESIDENTIAL,2120 PEMBROOKE PL
CE1311-0759,TRASHDEBRIS,,2120 PEMBROOKE PL
CE1311-0760,STAGNANT WATER,,2120 PEMBROOKE PL
CE1311-0761,TRASHDEBRIS,RESIDENTIAL,1011 PANHANDLE ST
CE1311-0762,PARKING,BLOCKING SIDEWALK,3428 CRISOFORO DR
CE1311-0763,GRASSWEEDS,RESIDENTIAL,2100 FAIRFAX RD
CE1311-0764,GRASSWEEDS,RESIDENTIAL,1505 CARRIGAN LN
CE1311-0765,TRASHDEBRIS,RESIDENTIAL,2116 FAIRFAX RD
CE1311-0766,OUTSIDE STORAGE,RESIDENTIAL,1425 CONSTANTINA DR
CE1311-0767,TRASHDEBRIS,RESIDENTIAL,1008 CORDELL ST
CE1311-0768,FENCES,RESIDENTIAL,1412 CONSTANTINA DR
CE1311-0769,TRASHDEBRIS,RESIDENTIAL,1412 CONSTANTINA DR
CE1311-0770,TRASHDEBRIS,RESIDENTIAL,805 N/S LONGRIDGE DR
CE1311-0771,FENCES,RESIDENTIAL,1408 CONSTANTINA DR
CE1311-0772,MINIMUM BUILDING STA,NO ADDRESS POSTED,805 N/S LONGRIDGE DR
CE1311-0773,OUTSIDE STORAGE,RESIDENTIAL,805 N/S LONGRIDGE DR
CE1311-0774,OUTSIDE STORAGE,RESIDENTIAL,1400 CONSTANTINA DR
CE1311-0775,TRASHDEBRIS,RESIDENTIAL,3400 BEATRIZ DR
CE1311-0776,TRASHDEBRIS,RESIDENTIAL,3444 BEATRIZ DR
CE1311-0777,TRASHDEBRIS,RESIDENTIAL,3617 BEATRIZ DR
CE1311-0778,OUTSIDE STORAGE,RESIDENTIAL,2224 SAVANNAH TRL
CE1311-0779,TRASHDEBRIS,RESIDENTIAL,1104 COIT ST
CE1311-0780,OUTSIDE STORAGE,RESIDENTIAL,3721 BEATRIZ DR
CE1311-0781,TRASHDEBRIS,,2224 SAVANNAH TRL
CE1311-0782,PARKING,SINGLE FAMILY,814 COIT ST
CE1311-0783,OUTSIDE STORAGE,RESIDENTIAL,803 EGAN ST
CE1311-0784,TRASHDEBRIS,RESIDENTIAL,3712 BEATRIZ DR
CE1311-0785,MINIMUM BUILDING STA,NO ADDRESS POSTED,914 EGAN ST
CE1311-0786,TRASHDEBRIS,RESIDENTIAL,914 EGAN ST
CE1311-0787,INOPERABLE VEHICLE,MOTOR VEHICLE,2909 OAKSHIRE ST
CE1311-0788,MINIMUM BUILDING STA,NO ADDRESS POSTED,3108 N BELL AVE
CE1311-0789,TRASHDEBRIS,RESIDENTIAL,1213 BOLIVAR ST
CE1311-0790,TRASHDEBRIS,RESIDENTIAL,3108 N BELL AVE
CE1311-0791,PARKING,VACANT LOT,2209 SAVANNAH TRL
CE1311-0792,OUTSIDE STORAGE,RESIDENTIAL,3221 N BELL AVE
CE1311-0793,TRASHDEBRIS,RESIDENTIAL,3221 N BELL AVE
CE1311-0794,INOPERABLE VEHICLE,MOTOR VEHICLE,100 PEAR TREE PL
CE1311-0795,OUTSIDE STORAGE,RESIDENTIAL,2001 PEMBROOKE PL
CE1311-0796,TRASHDEBRIS,RESIDENTIAL,2001 PEMBROOKE PL
CE1311-0797,GRASSWEEDS,RESIDENTIAL,527 PARK LN
CE1311-0798,MINIMUM BUILDING STA,UNSECURED AND VACANT,527 PARK LN
CE1311-0799,PARKING,BLOCKING SIDEWALK,301 MACK DR
CE1311-0800,TRASHDEBRIS,RESIDENTIAL,2208 LONGMEADOW ST
CE1311-0801,TRASHDEBRIS,RESIDENTIAL,2005 MACK PL
CE1311-0802,INOPERABLE VEHICLE,MOTOR VEHICLE,2949 STOCKTON ST
CE1311-0803,TRASHDEBRIS,RESIDENTIAL,914 BRITTANY DR
CE1311-0804,GRASSWEEDS,RESIDENTIAL,2901 BARNES DR
CE1311-0805,PARKING,BLOCKING SIDEWALK,1015 MACK PL
CE1311-0806,TRASHDEBRIS,RESIDENTIAL,1015 MACK PL
CE1311-0807,OUTSIDE STORAGE,RESIDENTIAL,1015 MACK PL
CE1311-0808,TRASHDEBRIS,RESIDENTIAL,312-316 W PRAIRIE ST
CE1311-0809,TRASHDEBRIS,RESIDENTIAL,1405 MARBLE COVE LN
CE1311-0810,TRASHDEBRIS,RESIDENTIAL,807 ALLEN ST
CE1311-0811,TRASHDEBRIS,RESIDENTIAL,917-919 Austin
CE1311-0812,TRASHDEBRIS,RESIDENTIAL,1115 N AUSTIN ST
CE1311-0813,ILLEGAL DUMPING,CITY PROPERTY,2901 Emerson
CE1311-0814,OUTSIDE STORAGE,RESIDENTIAL,729 ALEXANDER ST
CE1311-0815,TRASHDEBRIS,RESIDENTIAL,729 ALEXANDER ST
CE1311-0816,FENCES,RESIDENTIAL,729 ALEXANDER ST
CE1311-0817,INOPERABLE VEHICLE,MOTOR VEHICLE,729 ALEXANDER ST
CE1311-0818,PARKING,SINGLE FAMILY,7905 COUNTRY HOME DR
CE1311-0819,OUTSIDE STORAGE,RESIDENTIAL,8000 CHERRY TREE LN
CE1311-0820,TRASHDEBRIS,RESIDENTIAL,6301 PINE HILLS LN
CE1311-0821,GRASSWEEDS,RESIDENTIAL,733 ALEXANDER ST
CE1311-0822,OUTSIDE STORAGE,RESIDENTIAL,733 ALEXANDER ST
CE1311-0823,TRASHDEBRIS,RESIDENTIAL,733 ALEXANDER ST
CE1311-0824,TRASHDEBRIS,RESIDENTIAL,605 S BRADSHAW ST
CE1311-0825,OUTSIDE STORAGE,RESIDENTIAL,605 S BRADSHAW ST
CE1311-0826,INOPERABLE VEHICLE,MOTOR VEHICLE,715 HILL ALLEY
CE1311-0827,TRASHDEBRIS,RESIDENTIAL,1118 E OAK
CE1311-0828,OUTSIDE STORAGE,RESIDENTIAL,202 S CRAWFORD
CE1311-0829,OUTSIDE STORAGE,RESIDENTIAL,212 N RUDDELL ST
CE1311-0830,TRASHDEBRIS,RESIDENTIAL,212 N RUDDELL ST
CE1311-0831,TRASHDEBRIS,RESIDENTIAL,510  LAKEY ST
CE1311-0832,OUTSIDE STORAGE,RESIDENTIAL,510  LAKEY ST
CE1311-0833,OUTSIDE STORAGE,RESIDENTIAL,725 CHISHOLM TRAIL
CE1311-0834,TRASHDEBRIS,RESIDENTIAL,725 CHISHOLM TRAIL
CE1311-0835,TRASHDEBRIS,RESIDENTIAL,1509 WAYNE ST
CE1311-0836,TRASHDEBRIS,RESIDENTIAL,601 DRIFTWOOD TRL
CE1311-0837,TRASHDEBRIS,RESIDENTIAL,1516 WAYNE ST
CE1311-0838,CERTIFICATE OF OCCUP,NEW BUSINESS,405 FORT WORTH DR
CE1311-0839,ZONING,SIGNAGE,405 FORT WORTH DR
CE1311-0840,GRASSWEEDS,TREE LIMBS,3508 SUNNYDALE LN
CE1311-0841,TRASHDEBRIS,RESIDENTIAL,3508 SUNNYDALE LN
CE1311-0842,GRASSWEEDS,RESIDENTIAL,3512 SUNNYDALE LN
CE1311-0843,GRASSWEEDS,RESIDENTIAL,3516 SUNNYDALE LN
CE1311-0844,OUTSIDE STORAGE,RESIDENTIAL,3516 SUNNYDALE LN
CE1311-0845,TRASHDEBRIS,RESIDENTIAL,3516 SUNNYDALE LN
CE1311-0846,TRASHDEBRIS,RESIDENTIAL,3520 SUNNYDALE LN
CE1311-0847,TRASHDEBRIS,RESIDENTIAL,3509 SUNNYDALE LN
CE1311-0848,ZONING,SIGNAGE,6409 S I-35E
CE1311-0849,PARKING,SINGLE FAMILY,3409 SUNNYDALE LN
CE1311-0850,TRASHDEBRIS,RESIDENTIAL,1524 SNYDER ST
CE1311-0851,OUTSIDE STORAGE,RESIDENTIAL,3409 SUNNYDALE LN
CE1311-0852,TRASHDEBRIS,RESIDENTIAL,3409 SUNNYDALE LN
CE1311-0853,TRASHDEBRIS,RESIDENTIAL,1120 PIN OAK DR
CE1311-0854,TRASHDEBRIS,RESIDENTIAL,3316 SUNNYDALE LN
CE1311-0855,OUTSIDE STORAGE,RESIDENTIAL,3316 SUNNYDALE LN
CE1311-0856,ZONING,SIGNAGE,2834 W UNIVERSITY DR
CE1311-0857,TRASHDEBRIS,RESIDENTIAL,3510 VALLEY VIEW RD
CE1311-0858,CERTIFICATE OF OCCUP,CHANGE OF OWNER,900 LONDONDERRY LN BLDG 1
CE1311-0859,TRASHDEBRIS,RESIDENTIAL,3407 VALLEY VIEW RD
CE1311-0860,TRASHDEBRIS,RESIDENTIAL,3329 VALLEY VIEW RD
